228000001001010102001   5310 #0001    N 070327CBDCBBDD ACDBEECACECADCCCCCABECEBCCECABACBDCBCEDBEDBDDEACDEA                              
228000002001010102001   5310 #0001    N 070328CCB  DAECEEEDCECCCACBEAEEEECBBACDEADCBBCEDBDDBBDBCBBABEAABEC                              
228000003001010102001   5310 #0001    N 070329DEACDCABAEDCABACAEDACCEABEDBBDEBDDACBACABEBCADDBCEEDCADDCADE                              
228000004001010102001   5310 #0001    N 070330CABBCCEABDCBCACECDCBDCADADABCADACDEBBACEACAEACCEAEAEAECCBAEB                              
228000005001010102001   5310 #0001    N 070331DCDDDCBCADAAACDACBEDDABAAADADCECCCEAEADAEBAEEBCBCBCCECABEDCC                              
228000006001010102001   5310 #0001    N 070332ABABCAEDBCEDDEACCACDEECDBBBCDACEBCEECBEDCBBAABEDBBDECDAAEDEA                              
228000007001010102001   5310 #0001    N 070333DCC AEADDECBCEBECCBEBACADBEAAEEBACEACDDCECCBE BBBAABDCAEAACE                              
228000008001010102001   5310 #0001    N 070334ACCBEDCDBCDBAACBECDDBBACDAAABDADBDAEBCEDBECEDADBACAABCEDBCCB                              
228000009001010102001   5310 #0001    N 070335EACDDACABDCABDADABECDEBDADCBEDCABDABBCCBDBCCEEDACDECCEBDECAB                              
228000010001010102001   5310 #0001    N 070336BDCDBEBCECBDCBBDABCEBCBCADDAEDBBCBDDEEBCBDCBACBDCAECABDBDCCC                              
228000011001010102001   5310 #0001    N 070337EDCBABCDCBCDCCBCDBCCEDCBDCCCBBCEBCEABACBCBADCCBCBCBABDDCBAEC                              
228000012001010102001   5310 #0001    N 070338CDEDCDADBCCEECCABEADEAEDCEADAEEBDEEDCEDDEDAADBDEBACCCDEAADBA                              
228000013001010102001   5310 #0001    N 070339DABEDBCACECAEBCDACADEDCEDABAEDABDEACBABBCEBEACECADAACCCAEDDB                              
228000014001010102001   5310 #0001    N 070340BECCECADCBDDCACEACACDCDCAEBECBBAECDAEBDCDDCBABCCADEBCCCEECAE                              
228000015001010102001   5310 #0001    N 070341EBAACEBCACADCDBBABCAABCEAEDAACBCBDEAEDDCCDADBACACAECDBBDBD                                
228000016001010102001   5310 #0001    N 070342EADBCACDBBCEDBACABACEECBBCBCBAEEBDEAACADEECAEAEBBCEBEDDEBEBC                              
228000017001010102001   5310 #0001    N 070343DCCDAEABACDDCEDABBCDBCEBAEECDBEBDCABCEDCEDBCEAAEBDDADBEABDBC                              
228000018001010102001   5310 #0001    N 070344DACCCDDAAACED ABCCAEEDAACBCBBDAABCACEEEABAAAC DCDCECDCCD DB                               
228000019001010102001   5310 #0001    N 070345DBCDBBEADECDCDAEAAEEACDCADCBAACACDABBDCEBCCDABECBCDEEACCCBEB                              
228000020001010102001   5310 #0001    N 070346BCBEACBEDDCABCEBADDACBCDCEBAACECDBEADEDAEAADEDACDBBDBCABDACA                              
228000021001010102001   5310 #0001    N 071239                                                                                          
228000022001010102001   5310 #0001    N 070347BAADADABBAABADAAACBABEABBDACBEEDAABECADAECCCADEBBBAEAAEAECBE                              
228000023001010102001   5310 #0001    N 070348CACBBACCEDEDBCCBBAEDBDDBACBEBDCABEDEEEEBBEBACEDCACABBCCEEEDE                              
228000024001010102001   5310 #0001    N 070349CABBCDBADBEDDCCEDBEBBCBDBDEAC DACDAACDCBADBCACCAECBEAECCBEAB                              
228000025001010102001   5310 #0001    N 070350EDBCCDBBACAAADEEABEDAECDCDBAACBCCCEBEED DDADEEDCCDAACCDBACCD                              
228000026001010102001   5310 #0001    N 070351EACDBAACEBCCCCBDCACABABCDCBBAECEBCEEACBACBCACBEDBEBCCDBACEEA                              
228000027001010102001   5310 #0001    N 070352EBABECDDBABEBBBEBEABDBABBDEDABCCAABADAECEADCCDECCDDBAECCEABC                              
228000028001010102001   5310 #0001    N 070353CBCECCCAEACBDCDDADECEDABBADABDDEDCAEDAEECEACDBECCDCADDCACDEB                              
228000029001010102001   5310 #0001    N 070354ABDDCBECCBADABDDABBCDBDDDDDABACABBAABBACCBCBAACAACCBCACBDBEC                              
228000030001010102001   5310 #0001    N 070355EAAADCBCBACDABBABACABACBAEDAACDEABEBADDCBDCDEACACBBCDACBABCA                              
228000031001010102001   5310 #0001    N 070356BBEBBEDEDCCECCBCACBDEACCBCCCBBCEBCEEBCABEBBAECEADDDECDDADEEA                              
228000032001010102001   5310 #0001    N 070357DBECCCABEBCBEEDBDEECBCABAEEABEABAAEBCCBCDDABDBCCBAAEACEACABC                              
228000033001010102001   5310 #0001    N 071232                                                                                          
228000034001010102001   5310 #0001    N 070358EBDCBDCABACDDBCBBDDDDCBDECCCCCDABDDDBBBEDBCBDBBAEAAEACAAECDA                              
228000035001010102001   5310 #0001    N 070359DACEDCBCBADADACBDBCDAECDAAECADEBCBEBEDBBCDADBBCAEBEDCAEBDEBD                              
228000036001010102001   5310 #0001    N 071240EBDCABDCDCACECBDCBCBEEADEBCCCBAECEEDABABCBCAB EBCBBDBBDBABEB                              
228000037001010102001   5310 #0001    N 071241DCACDBABBADAEEDCBBDDEDEBBDDABEABDABBDCBEACCDABACDCABDCBAEBDB                              
228000038001010102001   5310 #0001    N 071236CEBEEBCBDECBCBDBBCEEBADEAEBBBDABDDABABEDCEDEDEDEABAADCCDAEBE                              
228000039001010102001   5310 #0001    N 071237BEEBDCEABCADDBEBADEEABDACECBCADACBABEDBACCDBADDEECDEAEDCBBAC                              
228000040001010102001   5310 #0001    N 071238DEDADBDABBBABAAACBEAAACEEADAACECBCEEEDDACDACEBBACDBCCEABBCD                               
228000041001010102001   5310 #0001    N 072754ECABCCDBCDEEECBEAABAEBACADEBABDEBABEDBEACCDABBDAABDBACCBAECA                              
