202000001001080224001   5310 #0001    N 048381PBBCEDEAEEDACBDADDAADEEBBCDDDCEBDDCDDCBCCDBEDCAAABDCAAECCCADDBCADABDBAAEBAAAAADDA          
202000002001080224001   5310 #0001    N 048382QCBB B CCB    CBA   BDBADAADA DEBAEACCBABDBCDE EBBAADECAAB E BCCCAABAAAACAAAAACCA          
202000003001080224001   5310 #0001    N 048383RCDBC  ABEDBCEACDACEBDEACEBCAEBABECECBEACBEEBDEBEBECBEDCEDECECDBEACBDBAACAACABABA          
202000004001080224001   5310 #0001    N 048384SCAAAEACCBCABDBAABCBAAAEAACBAADECCABBDEDCAAACCDCCAACBADECADCDACAAADBEAAABCCBABBBC          
202000005001080224001   5310 #0001    N 048385TCCBCBDEEADDCBCBACBAABBBDBBCEABDAEDAEDBACADAABDBCCEEAADDCACCABCDDAABDBAACAAABACCA          
202000006001080224001   5310 #0001    N 048386PEDEBAB EDBAECECABABACABDCAEDDBBDBCDDDBECDBDCCEAEBDDCBECBADEBBCDDAABEAAACAAAABDDB          
202000007001080224001   5310 #0001    N 048387QDCEBDECCBBACDBCEDCAEAECEDEEABDEBEDDDBECEABADACBCACEEEBEACBDABCBAABBEBAACAABBACBB          
202000008001080224001   5310 #0001    N 048388RACACCAAAAAAAACCCACCCCCCAABAAAADDEEEEBBCCCBBBBBBBBCCCCCCCCCCCCCCCAAB AAAAAAAAAACA          
202000009001080224001   5310 #0001    N 048389SACABEEAEBCAAECECDBCCEEEAAAAEADECEAEACBEBACEADBAEDCACDEECBEBABCCCABBBAAACAAAAADCA          
202000010001080224001   5310 #0001    N 048390TCBCDBEDBADABBEBDADBBBBEAABDECBDAECAADBACEDCEDBEBCEDEBDBABCDADCCAACBDAAADAAAAACCA          
202000011001080224001   5310 #0001    N 048391PDAEEDDDAEBACBBDBDCEBBCEBCBADDBBADEADEBBDDEBECECAABBDBEBEEADABCADAABDAAACAAABCCCB          
202000012001080224001   5310 #0001    N 048392QCDBBBDCAACDCDADABCDCDCCACDCDCDBBAEABCECEDBDCDDDCCCAADCCCCDCDBCDEDBBBBAACAAAAACDA          
202000013001080224001   5310 #0001    N 048393RBAAADBDCADABBABBBBBBCDBCBABBCBCDDCCAAEAACBBACCCDCDDCADCBDBCCBCDDAABCAAACAAAAACCA          
202000014001080224001   5310 #0001    N 048394SAECDADEBCEDCCBBABCDCAAEAAACEADECEAEACDDAECEACCCCDAADBBBADACBCDDDAABBAAACAAAAACCA          
202000015001080224001   5310 #0001    N 048395TBDCEBDECACDEDDADACBBDBDDAECCEBCAEAAECDBACDBDDEDBCEDABBDDEDEABCDDAABDAAACAAAAABBA          
202000016001080224001   5310 #0001    N 048396PBABBEAAEBDCCBCBCDBDCECDCDBADDBBDDBDCEBBCCBDCAEDAEDAEDCCCBAEDBCACCBBCAAACAAAAAACA          
202000017001080224001   5310 #0001    N 048397Q DE  AEDB BDDAACBBCDABAABACABEABAEBACEBDDBBEEC BBDBEEDBBDAEBBCCCAABDAAACAABBACBB          
202000018001080224001   5310 #0001    N 048398RCDBEECBDBDCCBDEEBAEABDABEEBACAADACDEDBCCCABEADDEACECDBADBBDAACBDABBBAAACBAAAACBA          
202000019001080224001   5310 #0001    N 048399SCBDBACCDABDBDDCDDCACCBBDBDDAADDCEEDAAEDAACCBCCDECAABDBEABECDBCAAABBBAAABACBBABBC          
202000020001080224001   5310 #0001    N 048400TEDBAEDBCACCACABADDECBEBADECECBECEBCCDCCCEDBEBCADCCADDADBCCCBBCCDABBDBAABAAABACCB          
202000021001080224001   5310 #0001    N 048401PABADBBAAADDCBBEACDCBEBEDDEDDDBCEBCEBDACEDBCACEAAEEEEDDAACACCBDDAAABCCAACCAAAACCB          
202000022001080224001   5310 #0001    N 048402QAABEBECBBBDCDDCECBCCACEBCADAADEBADEADEDBDBEDDBBCBCADBAAAACCEACCDABBBADACAAAAACBB          
202000023001080224001   5310 #0001    N 048403R EDDACABAECDBCECABBCBDBCDADDEADDABBABCCECBDCACAECBDDEBEBEEACBCDDABBDAEABACBABDCD          
202000024001080224001   5310 #0001    N 048404SBCACEBEEEBCDADCEDAABABEDADDBBDECEBEAABDCCBEADAEDCCCEEBAABDCEBDCDABBDCEACAAAAACBB          
202000025001080224001   5310 #0001    N 048405TBAADBBBCDDADBCBACBADBCEACBDEABDAEBEEDBAEEDEDDEADEADEBDBDDCCABCACABBEAAECAAAAAADA          
202000026001080224001   5310 #0001    N 048406PEAADEDDDCDABBAAECAEDBCBBAEAEDBBAECDADBBACAEDEECDCCEACDBABCABBDCDAABBCAACAAAAACBB          
202000027001080224001   5310 #0001    N 048407QCDEDADECEBDCBADEBCCADBEACBAEBEBBEEDCCDEEDCDEABDCDCDAEDCDBABDCCEEAEBDACACAAABACBB          
202000028001080224001   5310 #0001    N 048408RBEBBBEABDEECBBBBCCABBDBDAADBCBBDEAECCBECABBDAEBBCDDEDCCEBBBDACEEAABDAAACAAAAACDA          
202000029001080224001   5310 #0001    N 048409SEDADABACACAEEDE DABDAECAAAEEADEDDEACDEEAACCBCEBDBDCEDDEBACABBCECAABBADACAAAAABDA          
202000030001080224001   5310 #0001    N 048410TADCBBDECDBBCBAEBBDCAACBADDCEAECABDADAADAEBCBBCBBADBCCADCDCCDBDDCACBCACACAAAAACDA          
202000031001080224001   5310 #0001    N 048411PCCDCBCDAAACCBBDCCCDDBBABCEADABBDDBDBDEBBDDADAAAEEDADABDCEAADDDDCBABBAAACAAAAACCA          
202000032001080224001   5310 #0001    N 048412QDADBCADAEEABEDEEBCACDBABBBCACDDEBBCACECDDAABBADCABEBECBEBEAABDCDAABDABACAABBBCDB          
202000033001080224001   5310 #0001    N 048413RDCDDAEAACDCBCDDCAACECDECDCDCCBEEEDCCBBEDDCBDADBBCDDCBCDDDCBCADCDDCBDAAACAAAAADDA          
202000034001080224001   5310 #0001    N 048414SBCCBAEEAAC BEBEDCADBEACABBCEDADCBEEBCEECACABDCCDCCCADCECBCBDBCCDABBDAAACAABAACDA          
202000035001080224001   5310 #0001    N 048415TCBACAADADBDDCDBBEBDECCEBABCEBEDCACDCDBAACADDDABBAEDABADAABCDDCDDAABBAEACAAAAACDA          
202000036001080224001   5310 #0001    N 048416PBABCEDDAAAC BCACEDBCEACDDBACDBBACDABDECCDACEBB BD DBAAAADCBEBCCDAABBBAACAAAAADDA          
202000037001080224001   5310 #0001    N 048417QBAECBCCBBCCDDBCCEBAEDBBBDDEECDABDEAACEDEDBDEACECDCBCBCADACCDBDCEAABDAAACBAAAACCA          
202000038001080224001   5310 #0001    N 048418RBBDDADADCCECACEBDEAEEDBACDEBDBEDEBBEBAECABEDCAACEDEDADEEBDCEBCCDAABDAAADAAAAADDA          
202000039001080224001   5310 #0001    N 048419SBDBDECCCABABCEBAEDCEAEADABCEADDCEEAACEEBACDACECAADADDDEABADCBCDDA BBAAACAAABABCA          
202000040001080224001   5310 #0001    N 048420TAABACDEEDCBDAACDDABCEBEAAADDCBDADECDABAEADBBDABBDEADBEDDDBBDBCDCACBCCAACEAAEACAA          

